Central Cities/Suburbs,Medical expenses* (JPY**),Medical expenses for inpatients (JPY),Medical expenses for outpatients (JPY),Inpatient consultation rates (%),Outpatient consultation rates (%),Number of doctors,Number of beds,Number of nurses,"Income (10,000JPY)","Number of people employed in primary industries
(Number per 100,000 employees)",Percentage of completely unemployed (%),"Percentage of populations age 65?74
 (vs. population aged 0~74)",Number of household members (person),Percentage of singles (%),Percentage of households with own houses (%),"* Medical expenses includes of inpatients, outpatients and dental treatments.","**approximately, 1 JPY to 0.01$"
Chiyoda,246516,103999,117814,18,770,2411,3729,525,916,54,2,10,2,59,44,,
Chuo,228487,89379,114441,15,783,1108,840,160,618,31,2,9,2,55,46,,
Minato,225838,89260,112223,15,733,1161,1557,206,1112,129,3,10,2,51,50,,
Shinjuku,202443,83363,97506,14,630,1232,1615,205,520,14,3,11,2,65,36,,
Bunkyo,239227,101006,113271,17,774,1675,2235,267,587,16,3,11,2,57,48,,
Taito,231663,97748,109284,17,728,249,351,55,410,3,4,14,2,56,52,,
Sumida,257287,108269,124750,18,806,300,844,88,370,0,4,13,2,48,48,,
Koto,278072,120057,132347,20,859,278,520,62,421,53,4,13,2,44,50,,
Shinagawa,261250,112988,121998,19,851,409,591,82,474,12,3,12,2,55,44,,
Meguro,231019,92519,112634,16,824,398,741,87,585,44,3,11,2,51,48,,
Ota,275243,123425,125141,21,852,271,543,70,419,28,4,13,2,51,45,,
Setagaya,232593,93620,113034,16,810,230,370,58,545,139,3,12,2,50,50,,
Shibuya,216014,81620,109648,15,734,624,911,148,773,3,3,11,2,63,42,,
Nakano,211354,86791,100569,15,695,194,422,53,409,8,4,12,2,62,33,,
Suginami,230079,96467,109327,17,767,190,318,45,460,33,4,13,2,56,43,,
Toshima,196297,78476,97350,14,648,259,447,54,424,9,4,11,2,63,35,,
Kita,260169,115212,121427,20,768,230,561,61,360,13,4,15,2,51,42,,
Arakawa,250060,108750,118170,18,792,270,490,64,363,8,4,14,2,45,52,,
Itabashi,253072,114409,115051,19,776,438,957,117,356,7,4,13,2,51,43,,
Nerima,239121,102558,112075,18,780,177,201,40,408,72,4,12,2,41,47,,
Adachi,253418,106312,123460,19,797,163,630,55,336,86,4,15,2,41,51,,
Katsushika,255404,106776,125290,18,831,202,465,51,343,28,4,14,2,39,55,,
Edogawa,258456,105151,129552,18,802,138,319,40,357,70,4,12,2,41,47,,
NA1,,,,,,,,,,,,,,,,,
NA2,,,,,,,,,,,,,,,,,
NA3,,,,,,,,,,,,,,,,,
NA4,,,,,,,,,,,,,,,,,
Funabashi,255170,113706,115783,20,781,153,418,59,358,68,4,14,2,35,62,,
Ichikawa,247285,107599,115265,18,800,147,384,47,377,52,4,13,2,41,50,,
Ichihara,268333,120453,123245,20,825,187,590,70,315,416,4,17,2,32,69,,
Nagareyama,261034,112683,120538,20,823,138,494,52,373,96,4,15,2,27,69,,
Narashino,271039,127959,117761,22,820,205,793,75,382,4,4,14,2,34,58,,
Noda,282615,132319,124672,23,795,131,459,53,306,344,4,18,3,26,77,,
Abiko,270106,120507,122742,21,825,114,515,48,355,94,4,18,2,28,72,,
Kamagaya,270698,119517,125220,20,767,138,513,73,322,11,5,17,2,28,73,,
Mobara,268911,117770,126628,22,846,125,477,55,294,1117,5,18,2,28,75,,
Kimitsu,285957,128013,135266,23,846,95,251,43,305,1790,4,17,2,30,71,,
Yachimata,250541,115524,114397,20,723,72,137,25,272,1091,5,17,3,24,80,,
Choshi,259889,115818,121380,21,803,107,626,38,281,1506,5,19,2,33,76,,
Sodegaura,275819,122415,128269,21,918,101,313,49,316,871,4,16,3,24,75,,
Yamatake,258387,124362,112000,21,740,119,597,39,266,1970,5,18,3,24,88,,
oamishirasato,253703,109159,120067,19,828,130,323,41,311,1484,5,17,3,23,84,,
Futsu,311735,141353,145789,25,887,70,248,26,278,1372,4,21,3,28,83,,
Izumi,284928,132023,131771,24,735,96,238,47,262,3505,5,22,3,26,86,,
Kamogawa,343974,152871,167089,26,723,1476,3021,348,276,846,3,21,2,36,74,,
Sakae,288323,124168,136178,23,893,52,301,25,284,1088,6,20,3,21,87,,
Katsuura,315615,148087,142534,26,709,140,1335,52,264,792,5,22,2,45,68,,
Tako,272225,128043,121622,25,775,115,713,64,278,3527,4,18,3,23,85,,
Tohnosho,257315,112081,122688,19,706,49,226,33,278,6421,4,20,3,18,94,,
Shirako,263094,95164,143494,17,887,54,0,7,269,4675,6,22,3,24,92,,
Chonan,318973,144862,145559,25,967,24,0,7,262,939,5,20,3,19,96,,
Shibayama,265104,129492,113140,22,767,94,2126,69,297,1392,3,17,3,20,89,,
Onjuku,306348,143390,140143,25,745,55,0,20,252,1472,5,30,2,28,91,,
Kozaki,257539,113801,118136,20,783,65,0,36,271,3962,4,18,3,23,92,,
